Name,2009,2010,2011,2012,2013,2014,2015,2016,2017,,Median Household Income (2016),% of State Median HH Income
"Adair County, OK",8,10.5,9.2,9.1,9.8,8,6.1,5.9,5,,33632,0.683521665
"Alfalfa County, OK",4.8,4.9,4.1,2.8,3.3,2.5,3,3.3,2.7,,53695,1.091273067
"Atoka County, OK",8.2,10,8.5,6.8,6.9,6.2,6.5,6.6,5.3,,36766,0.747215674
"Beaver County, OK",3.5,4,3.6,3,3.4,2.8,2.7,3.1,2.6,,53493,1.08716771
"Beckham County, OK",5.9,5.8,3.7,3,3.3,2.8,5.1,7.2,4,,47407,0.963478579
"Blaine County, OK",5.6,6.4,5.3,3.9,4,3.5,3.8,3.7,2.9,,44229,0.898890334
"Bryan County, OK",5.2,6.2,5.9,5.4,5.5,4.8,4.6,4.3,3.8,,39219,0.797069344
"Caddo County, OK",6.2,6.9,7.1,6,6.3,5.4,5.2,5.3,4.5,,40296,0.818957808
"Canadian County, OK",5.5,5.2,4.4,3.9,4.1,3.5,3.6,4,3.6,,68291,1.387915617
"Carter County, OK",5.5,7.1,6.4,5.5,5.3,4.4,4.6,5.2,4.6,,47966,0.974839444
"Cherokee County, OK",5.4,7.7,7.3,7,7,6,5.2,5.5,5.5,,36297,0.737683928
"Choctaw County, OK",7,9.1,9,8.5,8.5,8.3,7.7,7.6,6.2,,32458,0.659661816
"Cimarron County, OK",3.7,3.5,3.4,3.3,3.2,2.8,2.3,2.5,2.4,,44000,0.894236241
"Cleveland County, OK",5.3,5.3,4.5,4.1,4.3,3.7,3.5,3.8,3.5,,61275,1.245325583
"Coal County, OK",8.5,9.1,8.4,7.1,7.6,6.7,7.6,7.3,5.4,,41111,0.835521502
"Comanche County, OK",5.2,5.8,5.7,5.9,5.8,4.7,4.4,4.6,4.4,,48493,0.985549955
"Cotton County, OK",4.4,6.7,6.1,5.6,5.6,4.6,4.2,4.8,4,,43019,0.874298837
"Craig County, OK",5.6,6.7,6.3,5.6,6.5,5.5,4.8,4.8,4.5,,42781,0.869461832
"Creek County, OK",8,8.6,7,6,6,5,5,5.8,5,,45630,0.927363629
"Custer County, OK",4.6,5.2,4,3.6,3.7,3.1,4.1,4.6,3.3,,43247,0.878932607
"Delaware County, OK",6.5,8,7.1,6.6,6.9,5.8,5,4.9,4.4,,39144,0.795545078
"Dewey County, OK",4.3,5.2,3.9,3.2,3.5,3.1,3.6,4.1,3,,49398,1.003942769
"Ellis County, OK",4.6,5.3,3.8,2.8,3.1,3,4.1,3.8,3.3,,51745,1.051642143
"Garfield County, OK",4.4,5.5,4.4,4.1,4.1,3.6,3.9,4.4,3.9,,49841,1.012946102
"Garvin County, OK",5.7,7.5,5.8,5,5,4.1,4.7,5.4,4.2,,40978,0.83281847
"Grady County, OK",7.1,6.5,5.3,4.8,4.8,4,4.5,5,4.1,,55552,1.129013901
"Grant County, OK",3.8,4.5,3.7,3.4,3.3,2.6,2.9,3.2,2.6,,48118,0.977928624
"Greer County, OK",7.7,7.7,6.3,5.3,5.4,4.6,5.7,7.4,5.3,,35231,0.716019023
"Harmon County, OK",5.4,5.9,5.4,4.7,4.3,4,3.5,3.8,3.8,,36703,0.74593529
"Harper County, OK",3.9,4.5,3.7,3.2,3.3,2.7,3,3.8,3.1,,48559,0.98689131
"Haskell County, OK",7.7,9.8,8.9,8.9,9.2,7.4,7.9,8.3,6.6,,36418,0.740143078
"Hughes County, OK",10.2,10.9,9.4,8,8,7,7.5,7.3,5.6,,33578,0.682424193
"Jackson County, OK",5,5.9,5.5,5.1,5.4,4.3,4.1,4.4,3.8,,44211,0.89852451
"Jefferson County, OK",8.3,7.5,6.1,4.9,5.3,4.6,5.7,7.2,5.6,,37105,0.754105357
"Johnston County, OK",7.4,10.4,8.5,7.8,8.1,7,6.5,5.9,4.1,,38080,0.773920819
"Kay County, OK",7.4,9.2,7.8,7.1,6.9,5.7,5.7,6.3,5.5,,44391,0.902182749
"Kingfisher County, OK",4.4,5.1,3.9,3.3,3.5,3.1,3.1,3.3,2.8,,60814,1.235956426
"Kiowa County, OK",6.2,6,5.2,4.7,4.9,4,4.7,5.3,5.4,,36069,0.733050159
"Latimer County, OK",10.7,10,9.9,8.5,8.9,7.4,8.1,8.6,7.5,,35942,0.730469068
"Le Flore County, OK",9.8,9.4,8.9,8.6,8.9,6.9,6.9,6.9,5.8,,37005,0.752073002
"Lincoln County, OK",7.1,6.5,5.5,5,5.1,4.5,4.7,5.3,4.4,,44914,0.912811967
"Logan County, OK",5.6,5.7,4.9,4.4,4.5,4,3.8,4.1,3.7,,54305,1.103670433
"Love County, OK",5.2,5.7,5,4.2,4.4,3.6,3.6,3.2,3,,45200,0.918624502
"McClain County, OK",5.7,5.6,4.7,4.2,4.4,3.7,3.7,4.1,3.6,,61730,1.254572799
"McCurtain County, OK",10.4,11.4,10.2,9.5,9.4,8.1,8,7.2,6.3,,32664,0.663848468
"McIntosh County, OK",7.9,11,10.6,10.2,9.8,9.2,8.7,8.9,7.8,,36903,0.75
"Major County, OK",4.5,5,4,3.5,3.4,2.6,3.3,4.1,3.2,,51607,1.048837493
"Marshall County, OK",8.1,7.2,6,5.8,5.8,4.8,5.5,5.1,4.7,,41669,0.846862044
"Mayes County, OK",8.5,8.8,7.6,6.1,5.8,4.9,4.3,5.1,4.8,,45922,0.933298106
"Murray County, OK",4.2,6.2,4.9,4.6,5,4.2,4.2,4.5,3.7,,48008,0.975693033
"Muskogee County, OK",7.5,8.2,7.4,6.7,6.5,5.7,5.1,5.5,5.2,,40581,0.82475002
"Noble County, OK",7.7,6.8,5.1,4.4,4.4,3.7,3.6,3.5,3.3,,50316,1.022599789
"Nowata County, OK",8.7,9.3,8,6.8,6.8,6.1,5.7,6.1,5.5,,41800,0.849524429
"Okfuskee County, OK",8.1,9.8,8.6,7.6,7.1,6,5.9,6.1,6.1,,35106,0.713478579
"Oklahoma County, OK",6.1,6.1,5.3,4.8,4.8,4.2,3.9,4.3,4,,51082,1.038167629
"Okmulgee County, OK",9.1,9.8,9,7.9,7.6,6.8,6.7,7.2,6.3,,38446,0.781359239
"Osage County, OK",7.5,7.8,6.8,5.8,5.8,5.1,5.3,5.8,5.1,,46074,0.936387286
"Ottawa County, OK",6.2,8.1,7.5,7.9,8,6.8,5.1,5,4.4,,39210,0.796886432
"Pawnee County, OK",8.5,9.1,7.8,6.6,6,5.3,5.8,6.6,5.4,,44619,0.906816519
"Payne County, OK",6.1,5.7,5,4.7,4.4,3.7,3.5,3.7,3.6,,42035,0.854300463
"Pittsburg County, OK",6.2,8.2,7.3,7,7.3,6.1,5.7,6.2,5.4,,44520,0.904804487
"Pontotoc County, OK",5.4,6.2,5.4,5.1,5.5,4.3,4,4.1,3.8,,44212,0.898544834
"Pottawatomie County, OK",6.3,6.9,6,5.3,5.5,4.7,4.5,4.6,4.2,,42453,0.862795708
"Pushmataha County, OK",8.3,9.8,8.7,7.2,8.9,7.5,7.8,7.3,6.2,,34222,0.69551256
"Roger Mills County, OK",4.5,4.6,3.2,2.8,3.2,2.8,4.2,5.1,3.3,,54629,1.110255264
"Rogers County, OK",6.9,6.9,5.7,5,5.1,4.2,4.4,5,4.4,,62622,1.272701406
"Seminole County, OK",8.6,9.6,8.3,7.8,8.2,6.8,6.8,6.9,5.9,,36671,0.745284936
"Sequoyah County, OK",9.5,9.6,9.2,8.3,8.4,6.8,6.4,6.3,5.5,,39629,0.805402
"Stephens County, OK",7.4,7.8,5.8,4.9,5.4,4.5,6,9.5,6.3,,44505,0.904499634
"Texas County, OK",5.2,4.9,4.4,4.2,4.4,3.7,3.2,3.4,3.1,,50993,1.036358833
"Tillman County, OK",7,6.2,5.8,4.8,5.4,4.7,4.3,4.4,4.3,,36350,0.738761076
"Tulsa County, OK",6.5,7,6.1,5.2,5.1,4.3,4.1,4.7,4.3,,51476,1.046175108
"Wagoner County, OK",6.5,6.8,5.9,5.2,5.1,4.2,4.2,4.8,4.4,,61882,1.257661979
"Washington County, OK",5.5,6.7,5.7,4.8,4.8,4.2,4.3,4.9,4.6,,52283,1.062576213
"Washita County, OK",5.6,6.1,4.5,4,4.2,3.4,5.6,6.9,4.5,,45642,0.927607512
"Woods County, OK",4.2,4.2,3.4,2.8,3.2,2.7,2.8,3.2,2.7,,50441,1.025140233
"Woodward County, OK",6.2,6.9,4.7,3.5,3.5,3.1,5.2,6.2,4.2,,57403,1.166632794
,,,,,,,,,,,,
,,,,,,,,,,,,
