"County
Name ","District
Name",Co/Dist Code,Site Code,School Site,Total Enrollment,Telephone,Principal,Principal's Email,Mailing Address,Mailing City,Mailing State,Mailing Zip,Physical Address,Physical City,Physical State,Physical Zip,Grades  (Low-High),Certified Staff
ADAIR       ,PEAVINE                       ,01-C019,105,PEAVINE PUBLIC SCHOOL         ,122,(918) 696-7818,Michael Hargis,mhargis@peavinepanthers.net,Post Office Box 389,Stilwell,OK,74960,77943 Hwy 59 N.,Stilwell,OK,74960,PK-08,11
ADAIR       ,MARYETTA                      ,01-C022,105,MARYETTA PUBLIC SCHOOL        ,652,(918) 696-2285,Corey Bunch,cbunch@maryetta.k12.ok.us,"Rural Route 6, Box 2840",Stilwell,OK,74960-9452,"Rural Route 6, Box 2840",Stilwell,OK,74960-9452,PK-08,63
ADAIR       ,ROCKY MOUNTAIN                ,01-C024,105,ROCKY MOUNTAIN PUBLIC SCHOOL  ,187,(918) 696-7509,Alicia Ketcher,aketcher@rockymtn.k12.ok.us,"Rural Route 1, Box 665",Stilwell,OK,74960,"Rural Route 1, Box 665",Stilwell,OK,74960,PK-08,19
ADAIR       ,ZION                          ,01-C028,105,ZION PUBLIC SCHOOL            ,344,(918) 696-7866,Joey O'neal,j_oneal@zionjets.com,Post Office Box 347,Stilwell,OK,74960,470658 E. 850 Road,Stilwell,OK,74960,PK-08,33
ADAIR       ,DAHLONEGAH                    ,01-C029,105,DAHLONEGAH PUBLIC SCHOOL      ,152,(918) 696-7807,Jeff Limore,jtlimore@dahlonegah.k12.ok.us,"Rural Route 1, Box 1795",Stilwell,OK,74960,"Rural Route 1, Box 1795",Stilwell,OK,74960,PK-08,18
ADAIR       ,GREASY                        ,01-C032,105,GREASY PUBLIC SCHOOL          ,73,(918) 696-7768,Michael Wolfe,Michael.Wolfe@greasy.k12.ok.us,92009 South 4676 Road,Bunch,OK,74931,92009 South 4676 Road,Bunch,OK,74931,PK-08,12
ADAIR       ,WATTS                         ,01-I004,105,WATTS ES                      ,170,(918) 422-5131,Tony Mitchell,TMITCHELL@WATTSSCHOOL.COM,616 6th Street,Watts,OK,74964,616 6th Street,Watts,OK,74964,PK-08,19
ADAIR       ,WATTS                         ,01-I004,705,WATTS HS                      ,111,(918) 422-5132,Tony Mitchell,TMITCHELL@WATTSSCHOOL.COM,616 6th Street,Watts,OK,74964,616 6th Street,Watts,OK,74964,12-Sep,14
ADAIR       ,WESTVILLE                     ,01-I011,105,WESTVILLE ES                  ,605,(918) 723-4355,Ryan Swank (Pk-2),rswank@westville.k12.ok.us,Post Office Box 410,Westville,OK,74965,500 W Chincapin,Westville,OK,74965,PK-06,56
ADAIR       ,WESTVILLE                     ,01-I011,610,WESTVILLE JHS                 ,171,(918) 723-3432,Shelly Cooper,scooper@westville.k12.ok.us,Post Office Box 410,Westville,OK,74965,500 W Chincapin,Westville,OK,74965,8-Jul,32
ADAIR       ,WESTVILLE                     ,01-I011,705,WESTVILLE HS                  ,355,(918) 723-5644,Renae Price,rprice@westville.k12.ok.us,Post Office Box 410,Westville,OK,74965,500 W Chincapin,Westville,OK,74965,12-Sep,46
ADAIR       ,STILWELL                      ,01-I025,105,STILWELL ES                   ,400,(918) 696-7656,Mark Lea,mlea@stilwellk12.org,10 South Sixth Street,Stilwell,OK,74960,10 South Sixth Street,Stilwell,OK,74960,PK-04,42
ADAIR       ,STILWELL                      ,01-I025,505,STILWELL MS                   ,243,(918) 696-2685,Dale Girdner,dgirdner@stilwellk12.org,12 North Seventh Street,Stilwell,OK,74960,12 North Seventh Street,Stilwell,OK,74960,8-May,33
ADAIR       ,STILWELL                      ,01-I025,705,STILWELL HS                   ,634,(918) 696-7276,Matt Brunk,mbrunk@stilwellk12.org,1801 West Locust Street,Stilwell,OK,74960,1801 West Locust Street,Stilwell,OK,74960,12-Sep,57
ADAIR       ,CAVE SPRINGS                  ,01-I030,105,CAVE SPRINGS ES               ,49,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,Post Office Box 200,Bunch,OK,74931,89660 S 4637 Rd,Bunch,OK,74931,PK-04,9
ADAIR       ,CAVE SPRINGS                  ,01-I030,505,CAVE SPRINGS MS               ,40,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,POST OFFICE BOX 200,BUNCH,OK,74931,89660 S 4637 RD,BUNCH,OK,74931,8-May,10
ADAIR       ,CAVE SPRINGS                  ,01-I030,705,CAVE SPRINGS HS               ,122,(918) 776-2050,Geary Brown,gbrown@cavesprings.k12.ok.us,Post Office Box 200,Bunch,OK,74931,89660 S 4637 Rd,Bunch,OK,74931,12-Sep,13
ALFALFA     ,BURLINGTON                    ,02-I001,105,BURLINGTON ES                 ,118,(580) 431-2222,Shane Feely,sfeely@burlingtonschool.com,P.O. Box 17,Burlington,OK,73722,401 Main Street,Burlington,OK,73722,PK-08,22
ALFALFA     ,BURLINGTON                    ,02-I001,705,BURLINGTON HS                 ,40,(580) 431-2222,Shane Feely,sfeely@burlingtonschool.com,P.O. Box 17,Burlington,OK,73722,401 Main Street,Burlington,OK,73722,12-Sep,15
