PolygonLayer2_label,Value0
,6.8
,4.4
,7.2
,4.9
,3.7
,4.8
,2.8
,4.7
,4.6
,6.1
,4.2
,4.7
,2.4
,3.2
,5
,3.5
,3.1
,3.6
,4.9
,5.1
,3.3
,4.1
,3.7
,4.6
,3.5
,5.1
,3.8
,4
,2.9
,5
,2.7
,4.6
,6.2
,4.7
,4.6
,2.6
,5
,4.3
,4.1
,4.9
,4.5
,4.3
,3.3
,3.7
,4.3
,3.2
,3
,3.8
,4.8
,5.2
,3.3
,4.2
,10.8

fips1,name,year,ID2008,Textbox50,ID2009,Textbox53,ID2010,Textbox56,ID2011,Textbox59,ID20121,Textbox62,ID2013,Textbox65,ID20141,Textbox68,ID2015,Textbox71,ID20161,Textbox12,Textbox20,Textbox11
40000,Oklahoma,2009,6.4,2010,6.8,2011,5.9,2012,5.2,2013,5.3,2014,4.5,2015,4.4,2016,4.8,2017,4.3,Median Household Income (2016),"$49,204",100.0%
40001,"Adair County, OK",2009,8.0,2010,10.5,2011,9.2,2012,9.1,2013,9.8,2014,8.0,2015,6.1,2016,5.9,2017,5.0,Median Household Income (2016),"$33,632",68.4%
40003,"Alfalfa County, OK",2009,4.8,2010,4.9,2011,4.1,2012,2.8,2013,3.3,2014,2.5,2015,3.0,2016,3.3,2017,2.7,Median Household Income (2016),"$53,695",109.1%
40005,"Atoka County, OK",2009,8.2,2010,10.0,2011,8.5,2012,6.8,2013,6.9,2014,6.2,2015,6.5,2016,6.6,2017,5.3,Median Household Income (2016),"$36,766",74.7%
40007,"Beaver County, OK",2009,3.5,2010,4.0,2011,3.6,2012,3.0,2013,3.4,2014,2.8,2015,2.7,2016,3.1,2017,2.6,Median Household Income (2016),"$53,493",108.7%
40009,"Beckham County, OK",2009,5.9,2010,5.8,2011,3.7,2012,3.0,2013,3.3,2014,2.8,2015,5.1,2016,7.2,2017,4.0,Median Household Income (2016),"$47,407",96.3%
40011,"Blaine County, OK",2009,5.6,2010,6.4,2011,5.3,2012,3.9,2013,4.0,2014,3.5,2015,3.8,2016,3.7,2017,2.9,Median Household Income (2016),"$44,229",89.9%
40013,"Bryan County, OK",2009,5.2,2010,6.2,2011,5.9,2012,5.4,2013,5.5,2014,4.8,2015,4.6,2016,4.3,2017,3.8,Median Household Income (2016),"$39,219",79.7%
40015,"Caddo County, OK",2009,6.2,2010,6.9,2011,7.1,2012,6.0,2013,6.3,2014,5.4,2015,5.2,2016,5.3,2017,4.5,Median Household Income (2016),"$40,296",81.9%
40017,"Canadian County, OK",2009,5.5,2010,5.2,2011,4.4,2012,3.9,2013,4.1,2014,3.5,2015,3.6,2016,4.0,2017,3.6,Median Household Income (2016),"$68,291",138.8%
40019,"Carter County, OK",2009,5.5,2010,7.1,2011,6.4,2012,5.5,2013,5.3,2014,4.4,2015,4.6,2016,5.2,2017,4.6,Median Household Income (2016),"$47,966",97.5%
40021,"Cherokee County, OK",2009,5.4,2010,7.7,2011,7.3,2012,7.0,2013,7.0,2014,6.0,2015,5.2,2016,5.5,2017,5.5,Median Household Income (2016),"$36,297",73.8%
40023,"Choctaw County, OK",2009,7.0,2010,9.1,2011,9.0,2012,8.5,2013,8.5,2014,8.3,2015,7.7,2016,7.6,2017,6.2,Median Household Income (2016),"$32,458",66.0%
40025,"Cimarron County, OK",2009,3.7,2010,3.5,2011,3.4,2012,3.3,2013,3.2,2014,2.8,2015,2.3,2016,2.5,2017,2.4,Median Household Income (2016),"$44,000",89.4%
40027,"Cleveland County, OK",2009,5.3,2010,5.3,2011,4.5,2012,4.1,2013,4.3,2014,3.7,2015,3.5,2016,3.8,2017,3.5,Median Household Income (2016),"$61,275",124.5%
40029,"Coal County, OK",2009,8.5,2010,9.1,2011,8.4,2012,7.1,2013,7.6,2014,6.7,2015,7.6,2016,7.3,2017,5.4,Median Household Income (2016),"$41,111",83.6%
40031,"Comanche County, OK",2009,5.2,2010,5.8,2011,5.7,2012,5.9,2013,5.8,2014,4.7,2015,4.4,2016,4.6,2017,4.4,Median Household Income (2016),"$48,493",98.6%
40033,"Cotton County, OK",2009,4.4,2010,6.7,2011,6.1,2012,5.6,2013,5.6,2014,4.6,2015,4.2,2016,4.8,2017,4.0,Median Household Income (2016),"$43,019",87.4%
40035,"Craig County, OK",2009,5.6,2010,6.7,2011,6.3,2012,5.6,2013,6.5,2014,5.5,2015,4.8,2016,4.8,2017,4.5,Median Household Income (2016),"$42,781",86.9%
40037,"Creek County, OK",2009,8.0,2010,8.6,2011,7.0,2012,6.0,2013,6.0,2014,5.0,2015,5.0,2016,5.8,2017,5.0,Median Household Income (2016),"$45,630",92.7%
40039,"Custer County, OK",2009,4.6,2010,5.2,2011,4.0,2012,3.6,2013,3.7,2014,3.1,2015,4.1,2016,4.6,2017,3.3,Median Household Income (2016),"$43,247",87.9%
40041,"Delaware County, OK",2009,6.5,2010,8.0,2011,7.1,2012,6.6,2013,6.9,2014,5.8,2015,5.0,2016,4.9,2017,4.4,Median Household Income (2016),"$39,144",79.6%
40043,"Dewey County, OK",2009,4.3,2010,5.2,2011,3.9,2012,3.2,2013,3.5,2014,3.1,2015,3.6,2016,4.1,2017,3.0,Median Household Income (2016),"$49,398",100.4%
40045,"Ellis County, OK",2009,4.6,2010,5.3,2011,3.8,2012,2.8,2013,3.1,2014,3.0,2015,4.1,2016,3.8,2017,3.3,Median Household Income (2016),"$51,745",105.2%
40047,"Garfield County, OK",2009,4.4,2010,5.5,2011,4.4,2012,4.1,2013,4.1,2014,3.6,2015,3.9,2016,4.4,2017,3.9,Median Household Income (2016),"$49,841",101.3%
40049,"Garvin County, OK",2009,5.7,2010,7.5,2011,5.8,2012,5.0,2013,5.0,2014,4.1,2015,4.7,2016,5.4,2017,4.2,Median Household Income (2016),"$40,978",83.3%
40051,"Grady County, OK",2009,7.1,2010,6.5,2011,5.3,2012,4.8,2013,4.8,2014,4.0,2015,4.5,2016,5.0,2017,4.1,Median Household Income (2016),"$55,552",112.9%
